ispb,nome,nome_reduzido,modalidade_participacao,tipo_participacao,inicio_operacao,data_carga
54403563,BCO ARBI S.A.,BCO ARBI S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
00997185,BCO B3 S.A.,BCO B3 S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
28127603,BCO BANESTES S.A.,BCO BANESTES S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
61186680,BCO BMG S.A.,BCO BMG S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
01522368,BCO BNP PARIBAS BRASIL S A,BCO BNP PARIBAS BRASIL S A,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
60746948,BCO BRADESCO S.A.,BCO BRADESCO S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
01852137,BCO BRASILEIRO DE CRÉDITO S.A.,BCO BRASILEIRO DE CRÉDITO S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
71027866,BCO BS2 S.A.,BCO BS2 S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
01858774,BCO BV S.A.,BCO BV S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
31872495,BCO C6 S.A.,BCO C6 S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
33479023,BCO CITIBANK S.A.,BCO CITIBANK S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
01181521,BCO COOPERATIVO SICREDI S.A.,BCO COOPERATIVO SICREDI S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
61033106,BCO CREFISA S.A.,BCO CREFISA S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
08357240,BCO CSF S.A.,BCO CSF S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
04902979,BCO DA AMAZONIA S.A.,BCO DA AMAZONIA S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
62232889,BCO DAYCOVAL S.A,BCO DAYCOVAL S.A,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
00000000,BCO DO BRASIL S.A.,BCO DO BRASIL S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
13009717,BCO DO EST. DE SE S.A.,BCO DO EST. DE SE S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
04913711,BCO DO EST. DO PA S.A.,BCO DO EST. DO PA S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
92702067,BCO DO ESTADO DO RS S.A.,BCO DO ESTADO DO RS S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
07237373,BCO DO NORDESTE DO BRASIL S.A.,BCO DO NORDESTE DO BRASIL S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
58616418,BCO FIBRA S.A.,BCO FIBRA S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
31880826,BCO GUANABARA S.A.,BCO GUANABARA S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
53518684,BCO HSBC S.A.,BCO HSBC S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
31895683,BCO INDUSTRIAL DO BRASIL S.A.,BCO INDUSTRIAL DO BRASIL S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
33172537,BCO J.P. MORGAN S.A.,BCO J.P. MORGAN S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
02318507,BCO KEB HANA DO BRASIL S.A.,BCO KEB HANA DO BRASIL S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
59118133,BCO LUSO BRASILEIRO S.A.,BCO LUSO BRASILEIRO S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
17184037,BCO MERCANTIL DO BRASIL S.A.,BCO MERCANTIL DO BRASIL S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
61820817,BCO PAULISTA S.A.,BCO PAULISTA S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
62144175,BCO PINE S.A.,BCO PINE S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
68900810,BCO RENDIMENTO S.A.,BCO RENDIMENTO S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
00517645,BCO RIBEIRAO PRETO S.A.,BCO RIBEIRAO PRETO S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
58160789,BCO SAFRA S.A.,BCO SAFRA S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
90400888,BCO SANTANDER (BRASIL) S.A.,BCO SANTANDER (BRASIL) S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
11970623,BCO SENFF S.A.,BCO SENFF S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
60889128,BCO SOFISA S.A.,BCO SOFISA S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
17351180,BCO TRIANGULO S.A.,BCO TRIANGULO S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
59588111,BCO VOTORANTIM S.A.,BCO VOTORANTIM S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
78626983,BCO VR S.A.,BCO VR S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
13720915,BCO WESTERN UNION,BCO WESTERN UNION,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
33264668,BCO XP S.A.,BCO XP S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
35523352,BEES IP LTDA.,BEES IP LTDA.,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
32074986,BEETELLER IP LTDA.,BEETELLER IP LTDA.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
25238191,BELLUNO IP LTDA.,BELLUNO IP LTDA.,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
,BELVO IP,BELVO IP,Iniciador,,,2026-05-11 16:41:39.298146
59396084,BFC SCD S.A.,BFC SCD S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
40910463,BIPA INSTITUICAO DE PAGAMENTO,BIPA INSTITUICAO DE PAGAMENTO,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
35136120,BITSO IP LTDA,BITSO IP LTDA,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
